Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
27-August-2019,2769.00,2798.00,2748.80,2766.20,2774.799519370812700262,13732,1394,38103547.00,1416,10.31,49.20,-2.80
26-August-2019,2792.00,2795.25,2688.00,2736.95,2722.008847031963470319,17520,1727,47689595.00,2005,11.44,107.25,-55.05
23-August-2019,2741.00,2765.95,2715.85,2750.50,2749.073544110684412646,19009,1314,52257139.00,3701,19.47,50.10,9.50
22-August-2019,2773.70,2774.65,2732.40,2741.55,2749.599307699504163158,10689,890,29390467.00,851,7.96,42.25,-32.15
21-August-2019,2750.00,2772.00,2735.65,2764.00,2759.422056631892697466,20130,2529,55547166.00,2365,11.75,36.35,14.00
20-August-2019,2731.40,2768.40,2716.45,2742.85,2746.788910869913917553,18703,1788,51373193.00,2155,11.52,51.95,11.45
19-August-2019,2770.00,2771.15,2715.00,2726.20,2742.935249246052864999,16911,1352,46385778.00,4390,25.96,56.15,-43.80
16-August-2019,2710.00,2759.20,2664.25,2750.15,2721.426822078098779990,22049,2011,60004740.00,6099,27.66,94.95,40.15
14-August-2019,2684.70,2756.05,2675.50,2715.15,2722.308887082281459928,23371,1852,63623081.00,4904,20.98,80.55,30.45
13-August-2019,2708.00,2740.00,2644.85,2673.20,2698.644183334828235716,22298,2158,60174368.00,4256,19.09,95.15,-34.80
9-August-2019,2705.55,2741.00,2686.45,2707.00,2712.653780371246038533,39758,2288,107849689.00,5459,13.73,54.55,1.45
8-August-2019,2621.00,2721.55,2606.55,2705.55,2645.228718644067796610,36875,2313,97542809.00,5365,14.55,115.00,84.55
7-August-2019,2627.00,2627.00,2581.80,2601.85,2609.838980090813831645,25767,1678,67247721.00,10596,41.12,45.20,-25.15
6-August-2019,2620.00,2648.00,2591.75,2609.20,2618.536921209858103061,21424,1515,56099535.00,2157,10.07,56.25,-10.80
5-August-2019,2585.00,2642.20,2546.20,2620.15,2611.605952826656682890,37394,2431,97658393.00,6178,16.52,96.00,35.15
2-August-2019,2524.90,2618.00,2479.65,2600.70,2568.732114175133043057,51675,3242,132739232.00,5060,9.79,138.35,75.80
1-August-2019,2490.00,2550.05,2475.95,2540.65,2511.236650144954643224,21386,1755,53705307.00,2528,11.82,74.10,50.65
31-July-2019,2475.00,2535.00,2448.00,2517.50,2506.574044585987261146,25120,1728,62965140.00,4296,17.10,87.00,42.50
30-July-2019,2485.00,2514.15,2447.00,2460.55,2471.984156136742090312,40836,2654,100945945.00,9211,22.56,67.15,-24.45
29-July-2019,2605.00,2605.00,2400.00,2488.60,2499.656790242028428736,41648,3124,104105706.00,11023,26.47,205.00,-116.40
26-July-2019,2540.10,2679.50,2506.15,2619.40,2609.479242247929358614,116872,6849,304975058.00,6894,5.90,173.35,79.30
25-July-2019,2525.05,2566.00,2514.00,2545.15,2553.397129617132316551,22227,1355,56754358.00,1794,8.07,52.00,20.10
24-July-2019,2528.70,2540.90,2481.45,2522.40,2514.899907206928549334,16165,1227,40653357.00,2864,17.72,59.45,-6.30
23-July-2019,2572.90,2572.90,2517.35,2524.95,2526.548762144802634253,24599,2186,62150573.00,12536,50.96,55.55,-47.95
22-July-2019,2560.00,2606.40,2515.00,2561.65,2557.494326725905673274,14630,1334,37416142.00,2168,14.82,91.40,1.65
19-July-2019,2652.00,2652.00,2550.00,2557.55,2584.940649560795191863,17304,1466,44729813.00,3250,18.78,102.00,-94.45
18-July-2019,2670.00,2703.20,2625.00,2632.85,2653.305019671043276295,21097,1354,55976776.00,4073,19.31,78.20,-37.15
17-July-2019,2732.25,2735.50,2691.65,2696.45,2706.772206150219650701,9333,902,25262305.00,1923,20.60,43.85,-35.80
16-July-2019,2700.00,2744.75,2680.00,2732.25,2718.120480787431383683,10566,1014,28719661.00,1751,16.57,64.75,32.25
15-July-2019,2740.00,2754.40,2706.30,2714.25,2731.287368915323211770,12778,1443,34900390.00,2564,20.07,48.10,-25.75
12-July-2019,2715.00,2752.40,2695.00,2721.75,2725.534481002342874605,9817,970,26756572.00,1696,17.28,57.40,6.75
11-July-2019,2714.90,2721.05,2661.95,2711.65,2692.292808005003126954,15990,1566,43049762.00,3063,19.16,59.10,-3.25
10-July-2019,2791.05,2791.05,2722.05,2741.90,2748.103399028848900314,10503,1249,28863330.00,2554,24.32,69.00,-49.15
9-July-2019,2779.90,2794.15,2755.25,2784.75,2776.665936028576067543,12318,968,34202971.00,2452,19.91,38.90,4.85
8-July-2019,2831.00,2831.00,2746.95,2779.90,2776.111530452889120249,23052,2009,63994923.00,4455,19.33,84.05,-51.10
5-July-2019,2898.00,2917.10,2826.50,2838.20,2878.475861632032437911,15784,1216,45433863.00,2774,17.57,90.60,-59.80
4-July-2019,2889.00,2909.35,2878.00,2895.55,2892.259514958399716764,11298,771,32676748.00,2388,21.14,31.35,6.55
3-July-2019,2894.85,2909.00,2872.70,2895.35,2894.663886255924170616,10550,731,30538704.00,1662,15.75,36.30,0.50
2-July-2019,2920.00,2925.00,2866.00,2886.25,2883.848909798244820410,11053,741,31875182.00,1990,18.00,59.00,-33.75
1-July-2019,2845.80,2919.00,2844.25,2910.70,2890.625102776547972930,31622,1848,91407347.00,3481,11.01,74.75,64.90
28-June-2019,2865.70,2866.35,2820.00,2828.15,2840.429263470093919920,10115,914,28730942.00,2319,22.93,46.35,-37.55
27-June-2019,2863.65,2908.95,2852.55,2866.85,2884.537020085078886435,18571,1171,53568737.00,10373,55.86,56.40,3.20
26-June-2019,2824.75,2876.70,2821.70,2868.20,2856.573441813162865029,6883,663,19661795.00,1738,25.25,55.00,43.45
25-June-2019,2814.95,2854.00,2716.90,2843.70,2813.053466270188327211,17151,1095,48246680.00,3679,21.45,137.10,28.75
