Contract Date,Contract Instrument Type,Symbol,Last Trading Date,Strike Price,Option Type,Filler,Contract Regular Lot,Contract Issue Start Date,Contract Issue Maturity Date,Contract Exercise Start Date,Contract Exercise End Date,Contract Exercise Style,Filler,Contract Open Price,Contract High Price,Contract Low Price,Contract Close Price,Contract Settlement Price,Contract Underlying Price,Previous Close,Total Traded Quantity,Total Traded Value (in lakhs),Open Interest,Change in Open Interest,Filler,Filler
01-Oct-2019,FUTCUR,GBPINR,29-Oct-2019,0.0000,,,1000,29-Oct-2018,29-Oct-2019,29-Oct-2019,29-Oct-2019, ,0,87.2700,87.8600,87.2700,87.7575,87.8150,87.4020,87.5350,725,635.3700,992,66,0,0
01-Oct-2019,OPTCUR,USDINR,29-Oct-2019,71.2500,PE,,1000,30-Jul-2019,29-Oct-2019,29-Oct-2019,29-Oct-2019,E,0,0.5675,0.5675,0.4525,0.4850,0.4675,71.0675,0.6100,672,482.1300,709,14,0,0
01-Oct-2019,FUTCUR,EURINR,29-Oct-2019,0.0000,,,1000,29-Oct-2018,29-Oct-2019,29-Oct-2019,29-Oct-2019, ,0,77.5000,77.9850,77.4675,77.9025,77.9425,77.5150,77.7575,609,473.4500,800,-16,0,0
01-Oct-2019,OPTCUR,USDINR,29-Oct-2019,71.7500,PE,,1000,30-Jul-2019,29-Oct-2019,29-Oct-2019,29-Oct-2019,E,0,0.9725,0.9725,0.8800,0.7700,0.7625,71.0675,0.9325,500,363.4200,2060,-396,0,0
01-Oct-2019,OPTCUR,USDINR,29-Oct-2019,72.0000,PE,,1000,30-Jul-2019,29-Oct-2019,29-Oct-2019,29-Oct-2019,E,0,1.0850,1.0850,0.9400,0.9400,0.9425,71.0675,1.1150,305,222.8000,3202,0,0,0
01-Oct-2019,OPTCUR,USDINR,29-Oct-2019,66.0000,CE,,1000,30-Jul-2019,29-Oct-2019,29-Oct-2019,29-Oct-2019,E,0,4.9100,4.9100,4.9100,5.2675,5.2550,71.0675,4.9925,300,212.7300,700,300,0,0
01-Oct-2019,OPTCUR,USDINR,29-Oct-2019,74.0000,CE,,1000,29-Jul-2019,29-Oct-2019,29-Oct-2019,29-Oct-2019,E,0,0.0175,0.0175,0.0175,0.0075,0.0200,71.0675,0.0175,230,170.2400,1508,0,0,0
01-Oct-2019,OPTCUR,USDINR,29-Oct-2019,72.2500,CE,,1000,29-Jul-2019,29-Oct-2019,29-Oct-2019,29-Oct-2019,E,0,0.1150,0.1800,0.1125,0.1625,0.1900,71.0675,0.1325,214,154.9100,3598,0,0,0
01-Oct-2019,OPTCUR,USDINR,29-Oct-2019,70.5000,CE,,1000,30-Jul-2019,29-Oct-2019,29-Oct-2019,29-Oct-2019,E,0,0.7500,0.9675,0.7500,0.9850,0.9700,71.0675,0.8200,213,152.0500,2737,104,0,0
01-Oct-2019,OPTCUR,USDINR,27-Nov-2019,72.0000,CE,,1000,28-Aug-2019,27-Nov-2019,27-Nov-2019,27-Nov-2019,E,0,0.4000,0.4000,0.4000,0.5000,0.4875,71.0675,0.3900,100,72.4000,100,100,0,0
01-Oct-2019,FUTCUR,USDINR,27-Dec-2019,0.0000,,,1000,27-Dec-2018,27-Dec-2019,27-Dec-2019,27-Dec-2019, ,0,71.7175,71.7875,71.6975,71.7425,71.7400,71.0675,71.5200,36,25.8300,2399,0,0,0
01-Oct-2019,FUTCUR,USDINR,11-Oct-2019,0.0000,,,1000,05-Jul-2019,11-Oct-2019,11-Oct-2019,11-Oct-2019, ,0,70.9775,71.1175,70.9700,71.1450,71.1575,71.0675,70.9600,36,25.5600,373,0,0,0
01-Oct-2019,OPTCUR,USDINR,04-Oct-2019,70.2500,CE,,1000,01-Jul-2019,04-Oct-2019,04-Oct-2019,04-Oct-2019,E,0,0.5775,0.6800,0.5775,0.8425,0.8525,71.0675,0.6525,29,20.5600,100,15,0,0
01-Oct-2019,FUTCUR,USDINR,27-Mar-2020,0.0000,,,1000,27-Mar-2019,27-Mar-2020,27-Mar-2020,27-Mar-2020, ,0,72.4575,72.7475,72.4575,72.6675,72.5075,71.0675,72.2550,26,18.8500,808,-10,0,0
01-Oct-2019,FUTCUR,USDINR,29-Jan-2020,0.0000,,,1000,29-Jan-2019,29-Jan-2020,29-Jan-2020,29-Jan-2020, ,0,71.9900,71.9900,71.9900,72.0475,71.9925,71.0675,71.7950,15,10.8000,1628,0,0,0
01-Oct-2019,OPTCUR,USDINR,04-Oct-2019,71.7500,PE,,1000,01-Jul-2019,04-Oct-2019,04-Oct-2019,04-Oct-2019,E,0,0.6650,0.6800,0.6650,0.6700,0.6550,71.0675,0.9200,10,7.2400,10,10,0,0
01-Oct-2019,OPTCUR,USDINR,29-Oct-2019,72.7500,CE,,1000,29-Jul-2019,29-Oct-2019,29-Oct-2019,29-Oct-2019,E,0,0.1100,0.1100,0.1100,0.0800,0.1975,71.0675,0.1775,4,2.9100,1326,0,0,0
01-Oct-2019,OPTCUR,USDINR,04-Oct-2019,70.0000,CE,,1000,01-Jul-2019,04-Oct-2019,04-Oct-2019,04-Oct-2019,E,0,0.9500,0.9500,0.9500,1.0900,1.0975,71.0675,0.8850,4,2.8400,42,0,0,0
01-Oct-2019,FUTCUR,EURUSD,29-Oct-2019,0.0000,,,1000,29-Oct-2018,29-Oct-2019,29-Oct-2019,29-Oct-2019, ,0,1.0925,1.0928,1.0925,1.0928,1.0925,1.0907,1.0931,2,1.5500,0,0,0,0
01-Oct-2019,FUTCUR,USDINR,25-Oct-2019,0.0000,,,1000,19-Jul-2019,25-Oct-2019,25-Oct-2019,25-Oct-2019, ,0,71.2500,71.2500,71.2450,71.2525,71.2675,71.0675,71.0700,2,1.4200,166,0,0,0
01-Oct-2019,FUTCUR,USDINR,18-Oct-2019,0.0000,,,1000,12-Jul-2019,18-Oct-2019,18-Oct-2019,18-Oct-2019, ,0,71.0500,71.0500,71.0400,71.1975,71.2125,71.0675,71.0150,2,1.4200,0,0,0,0
01-Oct-2019,OPTCUR,USDINR,04-Oct-2019,72.2500,CE,,1000,19-Jul-2019,04-Oct-2019,04-Oct-2019,04-Oct-2019,E,0,0.0075,0.0075,0.0075,0.0025,0.0075,71.0675,0.0050,1,0.7200,1,1,0,0
01-Oct-2019,FUTIRD,727GS2026,26-Dec-2019,0.0000,,,2000,01-Jul-2019,26-Dec-2019,26-Dec-2019,26-Dec-2019, ,0,0.0000,0.0000,0.0000,103.6300,103.6475,104.0668,103.3200,0,0.0000,22500,0,0,0
01-Oct-2019,FUTIRD,795GS2032,25-Jun-2020,0.0000,,,2000,28-Jun-2019,25-Jun-2020,25-Jun-2020,25-Jun-2020, ,0,0.0000,0.0000,0.0000,105.9125,105.9050,107.7396,105.3275,0,0.0000,16100,0,0,0
01-Oct-2019,FUTIRD,795GS2032,26-Dec-2019,0.0000,,,2000,01-Mar-2019,26-Dec-2019,26-Dec-2019,26-Dec-2019, ,0,0.0000,0.0000,0.0000,107.1950,107.1925,107.7396,106.6050,0,0.0000,12500,0,0,0
01-Oct-2019,FUTIRD,726GS2029,26-Dec-2019,0.0000,,,2000,14-Jan-2019,26-Dec-2019,26-Dec-2019,26-Dec-2019, ,0,0.0000,0.0000,0.0000,103.6150,103.6125,104.0322,103.3950,0,0.0000,10000,0,0,0
01-Oct-2019,OPTCUR,USDINR,29-Oct-2019,73.5000,CE,,1000,29-Jul-2019,29-Oct-2019,29-Oct-2019,29-Oct-2019,E,0,0.0000,0.0000,0.0000,0.0225,0.0525,71.0675,0.0325,0,0.0000,6315,0,0,0
01-Oct-2019,OPTCUR,USDINR,29-Oct-2019,73.2500,CE,,1000,29-Jul-2019,29-Oct-2019,29-Oct-2019,29-Oct-2019,E,0,0.0000,0.0000,0.0000,0.0350,0.1175,71.0675,0.1050,0,0.0000,5000,0,0,0
01-Oct-2019,FUTIRD,757GS2033,31-Oct-2019,0.0000,,,2000,26-Jul-2019,31-Oct-2019,31-Oct-2019,31-Oct-2019, ,0,0.0000,0.0000,0.0000,105.5125,105.5125,105.6519,104.7600,0,0.0000,5000,0,0,0
01-Oct-2019,OPTCUR,USDINR,29-Oct-2019,69.0000,CE,,1000,30-Jul-2019,29-Oct-2019,29-Oct-2019,29-Oct-2019,E,0,0.0000,0.0000,0.0000,2.2925,2.3600,71.0675,2.0950,0,0.0000,2100,0,0,0
01-Oct-2019,FUTIRD,795GS2032,28-Nov-2019,0.0000,,,2000,30-Aug-2019,28-Nov-2019,28-Nov-2019,28-Nov-2019, ,0,0.0000,0.0000,0.0000,107.3875,107.3875,107.7396,106.8050,0,0.0000,1400,0,0,0
01-Oct-2019,OPTCUR,USDINR,29-Oct-2019,73.7500,CE,,1000,29-Jul-2019,29-Oct-2019,29-Oct-2019,29-Oct-2019,E,0,0.0000,0.0000,0.0000,0.0125,0.0650,71.0675,0.0600,0,0.0000,1326,0,0,0
01-Oct-2019,FUTCUR,USDINR,26-Feb-2020,0.0000,,,1000,26-Feb-2019,26-Feb-2020,26-Feb-2020,26-Feb-2020, ,0,0.0000,0.0000,0.0000,72.3375,72.2250,71.0675,72.0125,0,0.0000,969,0,0,0
01-Oct-2019,FUTCUR,USDINR,27-May-2020,0.0000,,,1000,29-May-2019,27-May-2020,27-May-2020,27-May-2020, ,0,0.0000,0.0000,0.0000,73.2075,73.0400,71.0675,72.8775,0,0.0000,903,0,0,0
01-Oct-2019,FUTCUR,USDINR,28-Apr-2020,0.0000,,,1000,25-Apr-2019,28-Apr-2020,28-Apr-2020,28-Apr-2020, ,0,0.0000,0.0000,0.0000,72.9525,72.7925,71.0675,72.6475,0,0.0000,433,0,0,0
01-Oct-2019,OPTCUR,USDINR,29-Oct-2019,72.5000,PE,,1000,29-Jul-2019,29-Oct-2019,29-Oct-2019,29-Oct-2019,E,0,0.0000,0.0000,0.0000,1.3275,1.4525,71.0675,1.5275,0,0.0000,391,0,0,0
01-Oct-2019,OPTCUR,USDINR,29-Oct-2019,72.2500,PE,,1000,29-Jul-2019,29-Oct-2019,29-Oct-2019,29-Oct-2019,E,0,0.0000,0.0000,0.0000,1.1275,1.2675,71.0675,1.4325,0,0.0000,58,0,0,0
01-Oct-2019,OPTCUR,USDINR,04-Oct-2019,69.5000,PE,,1000,01-Jul-2019,04-Oct-2019,04-Oct-2019,04-Oct-2019,E,0,0.0000,0.0000,0.0000,0.0025,0.0025,71.0675,0.0050,0,0.0000,55,0,0,0
01-Oct-2019,FUTCUR,USDINR,29-Jul-2020,0.0000,,,1000,29-Jul-2019,29-Jul-2020,29-Jul-2020,29-Jul-2020, ,0,0.0000,0.0000,0.0000,73.7500,73.7600,71.0675,73.3100,0,0.0000,50,0,0,0
01-Oct-2019,OPTCUR,USDINR,29-Oct-2019,73.0000,PE,,1000,29-Jul-2019,29-Oct-2019,29-Oct-2019,29-Oct-2019,E,0,0.0000,0.0000,0.0000,1.7650,1.7575,71.0675,1.9750,0,0.0000,50,0,0,0
01-Oct-2019,OPTCUR,USDINR,27-Nov-2019,72.5000,CE,,1000,28-Aug-2019,27-Nov-2019,27-Nov-2019,27-Nov-2019,E,0,0.0000,0.0000,0.0000,0.3325,0.3350,71.0675,0.5325,0,0.0000,27,0,0,0
01-Oct-2019,OPTCUR,USDINR,27-Nov-2019,71.5000,PE,,1000,28-Aug-2019,27-Nov-2019,27-Nov-2019,27-Nov-2019,E,0,0.0000,0.0000,0.0000,0.7125,0.9700,71.0675,1.0975,0,0.0000,27,0,0,0
01-Oct-2019,OPTCUR,USDINR,29-Oct-2019,68.0000,PE,,1000,30-Jul-2019,29-Oct-2019,29-Oct-2019,29-Oct-2019,E,0,0.0000,0.0000,0.0000,0.0025,0.0050,71.0675,0.0075,0,0.0000,20,0,0,0
01-Oct-2019,FUTCUR,USDINR,22-Nov-2019,0.0000,,,1000,16-Aug-2019,22-Nov-2019,22-Nov-2019,22-Nov-2019, ,0,0.0000,0.0000,0.0000,71.4700,71.4825,71.0675,71.2825,0,0.0000,4,0,0,0
