Security_cd,sc_name,Open Price,High Price,Low Price,Close Price,Total Traded Volume,Number of Trades ,Total Turnover,ISIN No.,FACE VALUE,COUP0N (%),Maturity Date
961722,LTINF9122II ,1869.56,1870.10,1865.00,1869.57,469.00,28,876598.00,INE691I07273,1000.00,9                        ,
936356,MFL29NOV18  ,1072.00,1072.00,1065.00,1068.00,110.00,6,117404.00,INE522D07AG3,1000.00,,
936368,MFL29NOV18A ,1065.00,1065.00,1065.00,1065.00,10.00,1,10650.00,INE522D07AM1,1000.00,,
936370,MFL29NOV18B ,1070.00,1070.00,1070.00,1070.00,10.00,1,10700.00,INE522D07AN9,1000.00,,
961711,PFCBS1      ,5151.00,5151.00,5151.00,5151.00,1.00,1,5151.00,INE134E07075,5000.00,,
961712,PFCBS2      ,9800.00,9801.00,9800.00,9801.00,9.00,3,88201.00,INE134E07083,5000.00,,
961713,PFCBS3      ,5350.00,5350.00,5350.00,5350.00,1.00,1,5350.00,INE134E07091,5000.00,,
961714,PFCBS4      ,9999.00,9999.00,9999.00,9999.00,7.00,2,69993.00,INE134E07109,5000.00,,
961716,PFCBT1S2    ,9500.00,9555.00,9500.00,9555.00,17.00,4,161995.00,INE134E07166,5000.00,,
961717,PFCBT1S3    ,5350.00,5350.00,5350.00,5350.00,2.00,2,10700.00,INE134E07174,5000.00,,
961718,PFCBT1S4    ,9810.00,10000.00,9810.00,10000.00,23.00,6,229600.00,INE134E07182,5000.00,,
961704,SBIBIVNR    ,11150.00,11150.00,11150.00,11150.00,2.00,1,22300.00,INE062A08066,10000.00,9.45                     ,
961703,SBIBIVR     ,11399.00,11400.00,11399.00,11400.00,60.00,3,683983.00,INE062A08058,10000.00,9.95                     ,
961693,SBIBONDSII  ,11333.00,11360.00,11333.00,11360.00,3.00,3,34026.00,INE062A08025,10000.00,0                        ,
934885,SREI2019VI  ,1940.00,1940.00,1940.00,1940.00,5.00,1,9700.00,INE872A07RL2,1000.00,,
