Security Code,Issuer Name,Coupon (%),Maturity Date,LTP,Weighted Average Price,Weighted Average Yield,Turnover (Rs. Lakh),ISIN No.,Face Value
975UPCL23,U.P. POWER CORPORATION LIMITED,9.7500,20/10/2023,96.1300,96.3700,11.4100,70.00,INE540P07228,1000000.00
1025STFCL24,SHRIRAM TRANSPORT FINANCE COMPANY LIMITED,10.2500,26/04/2024,100.0000,100.1300,10.7000,60.00,INE721A08DC8,1000000.00
1015UPCL28,U.P. POWER CORPORATION LIMITED,10.1500,20/01/2028,99.7700,99.1000,10.7200,60.00,INE540P07350,1000000.00
830NHAI27,NATIONAL HIGHWAYS AUTHORITY OF INDIA,8.3000,25/01/2027,115.6600,115.7100,5.6200,60.00,INE906B07CB9,1000.00
1125SYNDICATEPE,SYNDICATE BANK,11.2500,30/03/2050,101.7600,101.7600,9.8200,50.00,INE667A08062,1000000.00
1015UPCL27,U.P. POWER CORPORATION LIMITED,10.1500,20/01/2027,102.0300,102.0300,10.0900,50.00,INE540P07343,1000000.00
955BHOPALCORP28,MUNICIPAL CORPORATION BHOPAL ,9.5500,26/09/2028,100.2500,100.2500,9.7200,50.00,INE01OI24013,1000000.00
875AXISBNKPERP,AXIS BANK LIMITED,8.7500,28/06/2022,99.8500,99.6400,8.8700,50.00,INE238A08443,1000000.00
985DCBBNK28,DCB BANK LIMITED,9.8500,12/01/2028,97.2300,97.2300,11.1500,40.00,INE503A08044,100000.00
914BOBPERP,BANK OF BARODA,9.1400,22/03/2030,100.4000,100.3500,8.9300,40.00,INE028A08091,1000000.00
1280CHOLAPERP,CHOLAMANDALAM INVESTMENT AND FIN. CO. LTD,12.8000,31/12/2099,105.0200,105.1300,10.7700,40.00,INE121A08MS8,1000000.00
1175TSIBL29,THE SOUTH INDIAN BANK LTD.,11.7500,26/06/2029,105.8700,105.8700,10.4100,25.00,INE683A08044,100000.00
1150LNTFL21,LNT FINANCE LTD,11.5000,30/12/2021,103.5200,103.5200,9.6200,20.00,INE523E08NG0,1000000.00
740IIFCL33,INDIA INFRASTRUCTURE FINANCE COMPANY LIMITED,7.4000,22/01/2033,115.4700,115.4700,5.7000,20.00,INE787H07156,1000.00
1015UPCL26,U.P. POWER CORPORATION LIMITED,10.1500,20/01/2026,96.2600,96.2600,11.4700,20.00,INE540P07335,1000000.00
1088CIAFCL99,CHOLAMANDALAM INVESTMENT AND FIN. CO. LTD,10.8800,31/12/9999,100.6100,100.6100,10.7400,15.00,INE121A08OI5,500000.00
688RECL23,RURAL ELECTRIFICATION CORPORATION LTD,6.8800,25/03/2023,103.7800,103.7800,5.6500,13.65,INE020B07GY2,1000.00
980LNTFINANCE22,LNT FINANCE LIMITED,9.8000,21/12/2022,102.0600,102.0600,9.0100,10.00,INE523E08NH8,1000000.00
76NHAI31,NATIONAL HIGHWAY AUTHORITY OF INDIA,7.6000,11/01/2031,113.8400,113.8400,5.6500,10.00,INE906B07EJ8,1000.00
126FCSF22,FINCARE SMALL FINANCE BANK LIMITED,12.6000,29/11/2022,104.0900,104.0900,11.5000,10.00,INE519Q08020,100000.00
13ASIRVAD22,ASIRVAD MICRO FINANCE LIMITED,13.0000,15/07/2022,104.2500,104.2500,11.8000,10.00,INE516Q08182,1000000.00
764IRFC31,INDIAN RAILWAY FINANCE CORPORATION LIMITED,7.6400,22/03/2031,112.7200,112.7200,5.8000,10.00,INE053F07900,1000.00
764NABARD31,NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT,7.6400,23/03/2031,112.6400,112.6400,5.8000,10.00,INE261F07032,1000.00
846RECLTD28,RURAL ELECTRIFICATION CORPORATION LIMITED,8.4600,24/09/2028,118.8600,118.8600,5.7100,6.50,INE020B07HP8,1000.00
1032APCRDA24,ANDHRA PRADESH CAPITAL REGION DEVELOPMENT AUTHORITY,10.3200,16/08/2024,99.7000,99.7000,10.8100,6.00,INE01E708016,200000.00
769HUDCO31,HOUSING AND URBAN DEVELOPMENT CORPORATION LIMITED,7.6900,15/03/2031,112.9900,112.9900,5.8000,5.21,INE031A07AT4,1000.00
1200TKBL28,THE KARNATAKA BANK LIMITED,12.0000,16/11/2028,105.6000,105.6000,10.2400,5.00,INE614B08039,100000.00




NOTE:-"Trading price indicates price in per 100 basis"
